商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
112,120,0,0,,,,,1月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_01_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
113,121,0,0,,,,,2月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_02_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
114,122,0,0,,,,,3月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_03_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
115,123,0,0,,,,,4月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_04_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
116,124,0,0,,,,,5月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_05_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
117,125,0,0,,,,,6月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_06_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
118,126,0,0,,,,,7月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_07_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
119,127,0,0,,,,,8月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_08_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
120,128,0,0,,,,,9月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_09_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
121,129,0,0,,,,,10月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_10_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
122,130,0,0,,,,,11月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_11_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
123,131,0,0,,,,,12月分　水道光熱費,2,,,,,,,,test,,test,,,,,,,,,,,,,,,,,,,,,,,,0,1,02_12_kounetuhi,,1,,,5000,,0,,,,,,,,,,,,,,,,,16,弐番舘
